vah,ah
-91.095744,0.26642
-78.972096,0.17646
-76.277952,0.11764
-76.446336,0.11245
-67.3536,0.116775
-64.238496,0.070065
-50.767776,0.0692
-52.19904,0.052765
-52.19904,0.03979
-36.876096,0.009515
-30.898464,0.004325
-30.898464,0.00865
-30.898464,0.011245
