vbm,bm
-60.108993,3.4908016
-54.314514,4.5221748
-50.055921,3.894696
-45.37845,1.045798
-40.770792,1.3126568
-40.631166,1.6516396
-34.278183,0.6563284
-27.9252,0.5697796
-26.319501,0.3750448
-21.083526,0.5697796
-18.500445,0.2380092
-17.523063,0.1730976
-12.845592,0.2091596
-8.726625,0.2812836
