160,  50.0 # gbar_Na
45,   6.0 # E_Na
0.103,   0.008 # A_am
39.1,  4.1  # B_am
6.0,    2.0 # C_am
0.12,  0.08  # A_bm
15.9,  4.2  # D_bm
0.0044, 0.0014  # A_ah
22.1, 2.1 # D_ah
0.96,  0.11 # E_bh
34.8, 5.7  # F_bh
11.8, 4.7 # G_bh
36, 6.0  # gbar_K
-77, 2.0 # E_K
0.0092, 0.0004 # A_alpha (K)
59, 2.8 # V_alpha (K)
6.9, 1.8 # k_alpha (K)
0.066, 0.003 # A_beta  (K)
100, 13.5 # tau_beta (K)
0.91, 0.2  # C_m
-53, 4.0 # E_l
0.3, 0.1     # G_l
